topiId,topicProb,topicName,topicWords
0,0.00822,ethiopian,gluten_free ethiopian injera ethiopian_food bread peckham polenta woolwich coeliac east_dulwich camberwell pancake hand free dulwich eritrean ethiopian_restaurant platter stew dial_arch
1,0.07176,floors,upstairs downstairs basement ground_floor first_floor table_upstairs downstairs_bar bar_downstairs upstairs_restaurant dining_room top_floor table_downstairs restaurant_upstairs second_floor level two_floor upstairs_bar upstairs_downstairs bar_upstairs upstairs_table
2,0.02685,kebab,kebab romford kebab_shop meat salad doner takeaway chilli_sauce ilford wrap chicken_shish grill best_kebab shish chicken_kebab doner_kebab kebab_place kebab_house large guy
3,0.00903,mixed,chiswick george balthazar ealing chez_bruce chapter_one trompette locale chiswick_high chapter hush acton new_york annie west_london hare charlotte white_bear common bruce
4,0.46779,service,manager rude customer_service not_even service bad guy attitude man money lady member_staff staff_not drink busy person terrible problem hand very_rude
5,0.04773,night Club,night club music party group fun happy_hour bouncer girl great_night entertainment great birthday dance_floor dancing dance friend_birthday security entry song
6,0.06273,english breakfast,cafe breakfast café full_english sandwich english_breakfast sausage greasy_spoon coffee jacket_potato tea morning bacon panini toast fry omelette breakfast_lunch cup_tea little_cafe
7,0.0053,mixed,sketch parlour toilet gallery joe pink swiss_cottage lecture_room bathroom soho_joe egg loo finchley_road guglee library angelus bradley glade pod street_grill
8,0.01147,seafood,oyster fish dover_sole crab scott seafood lobster oyster_bar social fresh pollen_street seafood_restaurant sheekey fresh_fish sea_food seafood_platter mussel fish_pie sole loch_fyne
9,0.06189,seafood,calamari sea_bass prawn mussel fish owner special sauce house_wine special_board wine steak king_prawn generous_portion sardine garlic bass huge generous bottle_wine
10,0.01501,london places,kensington harrod south_kensington knightsbridge royal_albert albert_hall museum hall kensington_high gloucester_road high_street natural_history south_ken v&a concert holland_park rah prom verdi tube_station
11,0.00618,french,patrick terroirs wine_list otto small_plate french charcuterie chez_patrick wine terrine boundary bread snail l'escargot bar france eel brawn pre_theatre excellent
12,0.01777,BYOA,brick_lane byo byob lane own_wine curry alcohol own_alcohol corkage own_booze own_drink curry_house not_alcohol discount deal drink own_bottle aladin street next_door
13,0.0052,japanese expensive,nobu black_cod hakkasan zuma tasting_menu soft_shell cod asian novikov wagyu_beef crab mayfair michelin_star asian_fusion amazing dark asian_food sea_bass sexy_fish duck_salad
14,0.01054,places,liverpool_street uxbridge spitalfields tom_kitchen station spitalfields_market somerset_house liverpool cinnamon_kitchen street_station tom polo_bar city market bishopsgate l'anima close_liverpool east_london jack_ripper pietra
15,0.0117,places,canary_wharf canal wharf blackheath gun excel dock docklands water dlr plateau grand_union colleague little_venice coy_carp fox canal_side west_india quay boat
16,0.04142,fish n chips,fish_chip fish mushy_pea cod cod_chip batter best_fish chip_shop haddock fresh pea chip_not good_fish traditional_fish chippy fresh_fish fish_fresh haddock_chip tartar_sauce portion
17,0.70771,service,very_good good good_value money great_value value_money food_always quality always_good local great many_time cheap regular busy favourite home week good_food few_time
18,0.02088,lebanese,shisha lebanese falafel lebanese_food hummus middle_eastern wrap mezze lebanese_restaurant grill lamb shawarma baklava bread edgware_road halloumi maroush mint_tea mixed_grill salad
19,0.08591,Old Fashioned,year_ago many_year traditional wonderful excellent charm wife atmosphere regular past history institution old_school reputation classic long famous diner owner service
20,0.01833,place,oxford_street street regent_street selfridges shopping marble_arch oxford_circus just_oxford central_london oxford christopher aubaine marylebone john_lewis marylebone_high christopher_place bond_street west_end heddon_street store
21,0.015,area,croydon concert wembley arena sri_lankan harrow event show hopper gig little_bay south_croydon purley wembley_stadium stadium albert_table karnavar spur restaurant_croydon east_croydon
22,0.11121,mixed,cool side brunch trendy space amazing kitchen vibe small_plate sweet_potato open_kitchen great tasty pork_belly concept delicious new_restaurant spot style decor
23,0.0032,african,shaka_zulu south_african gilgamesh crocodile african escalator decor zebra zulu exotic sala camden club kangaroo grace ostrich south_africa forge springbok champagne_cocktail
24,0.01081,italian place,leon queensway forno finsbury_park bayswater kentish_town bella_italia northwood stroud_green westbourne_grove forum rosso piazza bayswater_tube ibleo rossella pappagone veli park_theatre change
